year,county,population
2010,"Oakland County, MI",1202362
2010,"Midland County, MI",83629
2010,"Missaukee County, MI",14849
2010,"Monroe County, MI",152021
2010,"Montcalm County, MI",63342
2010,"Montmorency County, MI",9765
2010,"Muskegon County, MI",172188
2010,"Newaygo County, MI",48460
2010,"Otsego County, MI",24164
2010,"Oceana County, MI",26570
2010,"Ogemaw County, MI",21699
2010,"Ontonagon County, MI",6780
2010,"Osceola County, MI",23528
2010,"Oscoda County, MI",8640
2010,"Schoolcraft County, MI",8485
2010,"Ottawa County, MI",263801
2010,"Presque Isle County, MI",13376
2010,"Roscommon County, MI",24449
2010,"Saginaw County, MI",200169
2010,"St. Clair County, MI",163040
2010,"St. Joseph County, MI",61295
2010,"Sanilac County, MI",43114
2010,"Wayne County, MI",1820584
2010,"Shiawassee County, MI",70648
2010,"Tuscola County, MI",55729
2010,"Van Buren County, MI",76258
2010,"Wexford County, MI",32735
2010,"Washtenaw County, MI",344791
2010,"Alcona County, MI",10942
2010,"Antrim County, MI",23580
2010,"Allegan County, MI",111408
2010,"Alger County, MI",9601
2010,"Alpena County, MI",29598
2010,"Arenac County, MI",15899
2010,"Baraga County, MI",8860
2010,"Delta County, MI",37069
2010,"Barry County, MI",59173
2010,"Bay County, MI",107771
2010,"Benzie County, MI",17525
2010,"Berrien County, MI",156813
2010,"Branch County, MI",45248
2010,"Calhoun County, MI",136146
2010,"Cass County, MI",52293
2010,"Charlevoix County, MI",25949
2010,"Cheboygan County, MI",26152
2010,"Chippewa County, MI",38520
2010,"Clare County, MI",30926
2010,"Clinton County, MI",75382
2010,"Crawford County, MI",14074
2010,"Eaton County, MI",107759
2010,"Dickinson County, MI",26168
2010,"Emmet County, MI",32694
2010,"Huron County, MI",33118
2010,"Genesee County, MI",425790
2010,"Gladwin County, MI",25692
2010,"Gogebic County, MI",16427
2010,"Grand Traverse County, MI",86986
2010,"Gratiot County, MI",42476
2010,"Hillsdale County, MI",46688
2010,"Houghton County, MI",36628
2010,"Jackson County, MI",160248
2010,"Ingham County, MI",280895
2010,"Ionia County, MI",63905
2010,"Iosco County, MI",25887
2010,"Iron County, MI",11817
2010,"Isabella County, MI",70311
2010,"Lenawee County, MI",99892
2010,"Kalamazoo County, MI",250331
2010,"Kalkaska County, MI",17153
2010,"Kent County, MI",602622
2010,"Keweenaw County, MI",2156
2010,"Lake County, MI",11539
2010,"Lapeer County, MI",88319
2010,"Leelanau County, MI",21708
2010,"Menominee County, MI",24029
2010,"Livingston County, MI",180967
2010,"Luce County, MI",6631
2010,"Mackinac County, MI",11113
2010,"Macomb County, MI",840978
2010,"Manistee County, MI",24733
2010,"Marquette County, MI",67077
2010,"Mecosta County, MI",42798
2010,"Mason County, MI",28705
2015,"Monroe County, MI",150436
2015,"Hillsdale County, MI",46178
2015,"Oceana County, MI",26229
2015,"Clare County, MI",30710
2015,"Keweenaw County, MI",2198
2015,"Ottawa County, MI",273136
2015,"Alpena County, MI",29068
2015,"Midland County, MI",83624
2015,"Ogemaw County, MI",21222
2015,"Crawford County, MI",13895
2015,"Gratiot County, MI",41878
2015,"Lenawee County, MI",98902
2015,"Mackinac County, MI",11044
2015,"Houghton County, MI",36660
2015,"Lake County, MI",11426
2015,"Presque Isle County, MI",13037
2015,"Kalamazoo County, MI",256752
2015,"Newaygo County, MI",48029
2015,"Calhoun County, MI",134790
2015,"Kent County, MI",622590
2015,"Saginaw County, MI",196479
2015,"Bay County, MI",106698
2015,"Delta County, MI",36712
2015,"Chippewa County, MI",38586
2015,"Allegan County, MI",112837
2015,"Oakland County, MI",1229503
2015,"Alger County, MI",9476
2015,"Muskegon County, MI",171483
2015,"Leelanau County, MI",21772
2015,"Lapeer County, MI",88235
2015,"Sanilac County, MI",42014
2015,"Isabella County, MI",70669
2015,"Ontonagon County, MI",6298
2015,"Tuscola County, MI",54420
2015,"Alcona County, MI",10550
2015,"Ionia County, MI",64064
2015,"Kalkaska County, MI",17230
2015,"Berrien County, MI",155565
2015,"Oscoda County, MI",8444
2015,"Wexford County, MI",32751
2015,"Clinton County, MI",76905
2015,"Dickinson County, MI",26012
2015,"Huron County, MI",32290
2015,"Ingham County, MI",283491
2015,"Mason County, MI",28711
2015,"Menominee County, MI",23717
2015,"Montcalm County, MI",63004
2015,"Missaukee County, MI",14988
2015,"St. Joseph County, MI",61022
2015,"St. Clair County, MI",160429
2015,"Van Buren County, MI",75351
2015,"Washtenaw County, MI",354092
2015,"Arenac County, MI",15424
2015,"Barry County, MI",59147
2015,"Cass County, MI",51952
2015,"Iron County, MI",11507
2015,"Benzie County, MI",17437
2015,"Roscommon County, MI",24068
2015,"Schoolcraft County, MI",8288
2015,"Wayne County, MI",1778969
2015,"Branch County, MI",43706
2015,"Grand Traverse County, MI",89907
2015,"Jackson County, MI",159759
2015,"Genesee County, MI",415874
2015,"Antrim County, MI",23267
2015,"Livingston County, MI",184591
2015,"Iosco County, MI",25401
2015,"Manistee County, MI",24536
2015,"Montmorency County, MI",9401
2015,"Gladwin County, MI",25501
2015,"Mecosta County, MI",43301
2015,"Marquette County, MI",67582
2015,"Osceola County, MI",23234
2015,"Otsego County, MI",24141
2015,"Cheboygan County, MI",25690
2015,"Luce County, MI",6477
2015,"Macomb County, MI",854689
2015,"Shiawassee County, MI",69113
2015,"Baraga County, MI",8690
2015,"Charlevoix County, MI",26134
2015,"Eaton County, MI",108341
2015,"Gogebic County, MI",15824
2015,"Emmet County, MI",33018
2016,"Mason County, MI",28755
2016,"Menominee County, MI",23568
2016,"Montcalm County, MI",62922
2016,"Missaukee County, MI",15032
2016,"St. Joseph County, MI",60923
2016,"St. Clair County, MI",160069
2016,"Van Buren County, MI",75216
2016,"Washtenaw County, MI",358082
2016,"Arenac County, MI",15327
2016,"Barry County, MI",59316
2016,"Cass County, MI",51795
2016,"Iron County, MI",11393
2016,"Benzie County, MI",17462
2016,"Roscommon County, MI",23900
2016,"Schoolcraft County, MI",8186
2016,"Wayne County, MI",1767593
2016,"Branch County, MI",43603
2016,"Grand Traverse County, MI",90715
2016,"Jackson County, MI",159483
2016,"Genesee County, MI",413090
2016,"Antrim County, MI",23215
2016,"Livingston County, MI",185841
2016,"Iosco County, MI",25373
2016,"Manistee County, MI",24465
2016,"Montmorency County, MI",9317
2016,"Gladwin County, MI",25367
2016,"Mecosta County, MI",43259
2016,"Marquette County, MI",67418
2016,"Osceola County, MI",23172
2016,"Otsego County, MI",24198
2016,"Cheboygan County, MI",25579
2016,"Luce County, MI",6451
2016,"Macomb County, MI",859703
2016,"Shiawassee County, MI",68800
2016,"Baraga County, MI",8612
2016,"Charlevoix County, MI",26172
2016,"Eaton County, MI",108544
2016,"Gogebic County, MI",15650
2016,"Emmet County, MI",33091
2016,"Monroe County, MI",149945
2016,"Hillsdale County, MI",46024
2016,"Oceana County, MI",26152
2016,"Clare County, MI",30608
2016,"Keweenaw County, MI",2195
2016,"Ottawa County, MI",276583
2016,"Alpena County, MI",28929
2016,"Midland County, MI",83559
2016,"Ogemaw County, MI",21103
2016,"Crawford County, MI",13840
2016,"Gratiot County, MI",41676
2016,"Lenawee County, MI",98673
2016,"Mackinac County, MI",10998
2016,"Houghton County, MI",36565
2016,"Lake County, MI",11415
2016,"Presque Isle County, MI",12955
2016,"Kalamazoo County, MI",258605
2016,"Newaygo County, MI",47957
2016,"Calhoun County, MI",134691
2016,"Kent County, MI",629352
2016,"Saginaw County, MI",195201
2016,"Bay County, MI",106107
2016,"Delta County, MI",36570
2016,"Chippewa County, MI",38330
2016,"Allegan County, MI",113666
2016,"Oakland County, MI",1235215
2016,"Alger County, MI",9396
2016,"Muskegon County, MI",172148
2016,"Leelanau County, MI",21764
2016,"Lapeer County, MI",88310
2016,"Sanilac County, MI",41761
2016,"Isabella County, MI",70574
2016,"Ontonagon County, MI",6165
2016,"Tuscola County, MI",54014
2016,"Alcona County, MI",10461
2016,"Ionia County, MI",64126
2016,"Kalkaska County, MI",17259
2016,"Berrien County, MI",155134
2016,"Oscoda County, MI",8374
2016,"Wexford County, MI",32829
2016,"Clinton County, MI",77245
2016,"Dickinson County, MI",25889
2016,"Huron County, MI",32021
2016,"Ingham County, MI",284559
2017,"Chippewa County, MI",38023
2017,"Monroe County, MI",149619
2017,"Allegan County, MI",114145
2017,"Oakland County, MI",1241860
2017,"Hillsdale County, MI",45909
2017,"Alger County, MI",9254
2017,"Muskegon County, MI",172707
2017,"Oceana County, MI",26317
2017,"Leelanau County, MI",21564
2017,"Lapeer County, MI",88205
2017,"Clare County, MI",30597
2017,"Sanilac County, MI",41535
2017,"Keweenaw County, MI",2136
2017,"Isabella County, MI",70572
2017,"Ontonagon County, MI",6072
