year,race,population
2010,White,7803120
2010,Black / African American,1400362
2010,American Indian,62007
2010,Asian / Pacific Islander,240803
2015,White,7823875
2015,Black / African American,1381388
2015,American Indian,53951
2015,Asian / Pacific Islander,270849
2016,White,7817827
2016,Black / African American,1376446
2016,American Indian,52891
2016,Asian / Pacific Islander,279261
2017,White,7813199
2017,Black / African American,1374515
2017,American Indian,51804
2017,Asian / Pacific Islander,291890
2018,White,7818588
2018,Black / African American,1375424
2018,American Indian,53235
2018,Asian / Pacific Islander,307382
2019,White,7813755
2019,Black / African American,1374314
2019,American Indian,53316
2019,Asian / Pacific Islander,314820
2020,White,7444974
2020,Black / African American,1376579
2020,American Indian,61261
2020,Asian / Pacific Islander,337351
